country,Country Code,Region,Income Group,Lending category,Electric power consumption (kWh per capita),Forest area (sq. km),Rail lines (total route-km),Time required to start a business (days),"Patent applications, residents",Scientific and technical journal articles,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population density (people per sq. km of land area),Urban population
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,IDA,,21906.00098,,9,,6.6,12.17203082,20.97459807,128547
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA,,29803.99902,,12,,21.7,17.69823222,97.21729011,2837172
El Salvador,SLV,Latin America & Caribbean,Lower middle income,IBRD,937.0738768,2693.999939,,16.5,,19.9,27.50259084,303.8189189,4335706
San Marino,SMR,Europe & Central Asia,High income,,,0,,36,4,5.1,,549.1333333,31814
Somalia,SOM,Sub-Saharan Africa,Low income,IDA,,64397.99805,,,,6.2,30.40108067,21.39760895,5729048
Serbia,SRB,Europe & Central Asia,Upper middle income,IBRD,4271.744667,27186.00098,3809,11.5,202,5233.2,26.49207255,81.5295678,3963388
South Sudan,SSD,Sub-Saharan Africa,Low income,IDA,43.58172421,71570,,14,,5.8,41.90056033,,1965953
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,IDA,,535.9999847,,7,,0.7,27.86230189,203.8822917,135469
Suriname,SUR,Latin America & Caribbean,Upper middle income,IBRD,3596.777721,153357.998,,84.5,,5.9,25.99884713,3.546621795,365653
Slovak Republic,SVK,Europe & Central Asia,High income,,5137.073835,19398.00049,3627.102,26.5,211,5135.9,18.30418161,112.7006864,2926070
Slovenia,SVN,Europe & Central Asia,High income,,6727.999302,12478.00049,1209.05,6,,3788.5,16.63270074,102.3823237,1104335
Sweden,SWE,Europe & Central Asia,High income,,13480.14822,280730,9689,16,1984,21130.1,6.959197681,23.80523434,8362604
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,IBRD,,5814.000244,,30,,33.8,17.97877739,63.66401163,253486
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,,,,,,,,,1108.382353,37685
Seychelles,SYC,Sub-Saharan Africa,High income,IBRD,,406.6999817,,32,,9.6,20.97051747,198.6065217,50219
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,IDA,974.3171391,4910,,13.5,,245.1,41.53448066,101.9205576,9638571
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,,,344.0000153,,,,,,37.23052632,32487
Chad,TCD,Sub-Saharan Africa,Low income,IDA,,50016.00098,,60,,8.7,51.24716851,10.85098396,3056811
Togo,TGO,Sub-Saharan Africa,Low income,IDA,154.6652373,2078.000031,,10,,81.3,28.93629146,131.2373047,2825148
Thailand,THA,East Asia & Pacific,Upper middle income,IBRD,2538.79638,163690,,29.5,1006,8476.1,29.36464114,133.9598152,32127193
Tajikistan,TJK,Europe & Central Asia,Low income,IDA,1499.485086,4116.000061,597,28,,37.8,46.48082923,59.46445054,2199793
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,IBRD,2678.763514,41270,3115,,,20.1,22.08490686,11.63221756,2728846
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Blend,,6972.000122,,15,,10.6,20.45010047,78.97316745,342118
Tonga,TON,East Asia & Pacific,Upper middle income,IDA,,90,,16,,1,12.05763996,140.3166667,23568
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,IBRD,7092.932612,2328.600006,,11.5,4,221.5,24.85584226,265.5637427,727668
Tunisia,TUN,Middle East & North Africa,Lower middle income,IBRD,1454.642287,10308.00049,2244,12,142,4697.4,34.69205883,71.21009912,7497753
Turkey,TUR,Europe & Central Asia,Upper middle income,IBRD,2847.126383,116125.9961,10087,11,4766,31673.7,42.59577121,100.3493978,56438761
Tuvalu,TUV,East Asia & Pacific,Upper middle income,IDA,,10,,,,1.1,,365.7333333,6450
Tanzania,TZA,Sub-Saharan Africa,Low income,IDA,103.6833158,464320,,29,,548,28.87371592,56.4007925,15439583
Uganda,UGA,Sub-Saharan Africa,Low income,IDA,,22121.99951,,28,5,536.7,46.93056685,184.0821265,7937588
Ukraine,UKR,Europe & Central Asia,Lower middle income,IBRD,3418.585024,96352.00195,21625.9,22,2457,7417.1,20.48689522,78.15074833,31223156
Uruguay,URY,Latin America & Caribbean,High income,IBRD,3085.194419,18222.6001,1498,6.5,37,761.6,9.926816159,19.42883099,3228542
United States,USA,North America,High income,,12993.96182,3098200,152932.6,5.6,285096,440229.7,8.220720319,34.80614436,259430807
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend,1645.441629,32310.2002,4202,7.5,345,332.2,28.9000361,72.30300893,15640290
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,Blend,,270,,10,,0.7,23.03093206,279.1307692,55038
Venezuela,VEN,Latin America & Caribbean,Upper middle income,IBRD,2718.942775,468473.9844,,144,55,1248,19.10406153,34.06284678,26482983
British Virgin Islands,VGB,Latin America & Caribbean,High income,,,36.19999886,,,,,,193.26,13398
